aircraft,airline,departure,arrival,destination,flight,origin,scheduled.arrival,scheduled.departure,type
OH-LWB,Finnair (Oneworld Livery),0,9.54416666666667,Helsinki Vantaa Airport,AY90,Bangkok Suvarnabhumi Airport,1487336100,1487297100,A359
OH-LWB,Finnair (Oneworld Livery),36.6133333333333,38.8275,Bangkok Suvarnabhumi Airport,AY89,Helsinki Vantaa Airport,1487291100,1487257500,A359
OH-LWB,Finnair (Oneworld Livery),36.9730555555556,39.5275,Helsinki Vantaa Airport,AY70,Hong Kong International Airport,1487042700,1487004300,A359
OH-LWB,Finnair (Oneworld Livery),41.1908333333333,43.0775,Hong Kong International Airport,AY69,Helsinki Vantaa Airport,1486971000,1486935900,A359
OH-LWB,Finnair (Oneworld Livery),44.4644444444444,46.7275,Helsinki Vantaa Airport,AY832,London Heathrow Airport,1486905300,1486894800,A359
OH-LWB,Finnair (Oneworld Livery),48.6341666666667,58.0941666666667,Hong Kong International Airport,AY69,Helsinki Vantaa Airport,1486798200,1486763100,A359
OH-LWB,Finnair (Oneworld Livery),55.7725,57.7441666666667,Shanghai Pudong International Airport,AY57,Helsinki Vantaa Airport,1487376900,1487345400,A359
OH-LWB,Finnair (Oneworld Livery),60.9333333333333,63.2108333333333,Helsinki Vantaa Airport,AY58,Shanghai Pudong International Airport,1487420400,1487383500,A359
OH-LVD,Finnair (Oneworld Livery),64.2722222222222,65.1441666666667,Helsinki Vantaa Airport,AY768,Vienna International Airport,1487450700,1487441700,A319
OH-LVD,Finnair (Oneworld Livery),65.8216666666666,66.5108333333333,Vienna International Airport,AY767,Helsinki Vantaa Airport,1487439000,1487430000,A319
OH-LVD,Finnair (Oneworld Livery),67.1591666666666,77.1941666666666,Helsinki Vantaa Airport,AY822,Frankfurt Airport,1487423400,1487414100,A319
OH-LVD,Finnair (Oneworld Livery),67.4055555555555,68.5608333333333,Frankfurt Airport,AY821,Helsinki Vantaa Airport,1487406000,1487396400,A319
OH-LVD,Finnair (Oneworld Livery),69.6477777777777,70.7608333333333,Helsinki Vantaa Airport,AY356,Oulu Airport,1487365500,1487361900,A319
OH-LVD,Finnair (Oneworld Livery),79.3680555555555,80.2941666666666,Oulu Airport,AY359,Helsinki Vantaa Airport,1487359500,1487355300,A319
OH-LVD,Finnair (Oneworld Livery),80.9052777777778,81.6275,Helsinki Vantaa Airport,AY678,Gothenburg Landvetter Airport,1487352600,1487347800,A319
OH-LVD,Finnair (Oneworld Livery),83.9625,85.2275,Gothenburg Landvetter Airport,AY677,Helsinki Vantaa Airport,1487345400,1487340300,A319
OH-LVD,Finnair (Oneworld Livery),86.2722222222222,87.4108333333333,Helsinki Vantaa Airport,AY812,Brussels Airport,1487337300,1487328000,A319
OH-LVD,Finnair (Oneworld Livery),88.2780555555555,89.4941666666666,Brussels Airport,AY811,Helsinki Vantaa Airport,1487319300,1487309700,A319
